ICAO,IATA,DB ID,FlighStats API Name (Okay quality),OurAirports.com Name (Good quality),FlightAware API Name (bad quality),Marketing Name (OurAirports + our edits),City,Country,Country Code,Continent,Latitude,Longitude,Timezone,Flight Rank,Relevance,On Time Departures,On Time Departures Rank,Cancel %,No Flights,Airport Type,Elevation (ft),Website,Apple terminal maps? (63),Google terminal maps?,"If Gate known, replace any ""N/A"" Terminal with:"
KATL,ATL,6f0c1d11-cfef-4b33-b462-90379270f593,Hartsfield Jackson Atlanta International Airport,Hartsfield Jackson Atlanta International Airport,Hartsfield-Jackson Intl,Hartsfield Jackson Atlanta Intl ,Atlanta,United States,US,North America,33.640067,-84.44403,America/New_York,1,5,85%,285,0%,31286,large_airport,1026,http://www.atlanta-airport.com/,TRUE,,
KORD,ORD,a5eff314-18e7-4c87-bd38-0131882f1b8d,Chicago O'Hare International Airport,Chicago O'Hare International Airport,Chicago O'Hare Intl,Chicago O'Hare Intl ,Chicago,United States,US,North America,41.976912,-87.904876,America/Chicago,2,5,74%,842,5%,30648,large_airport,672,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,TRUE,,
KLAX,LAX,25b8d712-9888-423f-868d-b25f1d184aaf,Los Angeles International Airport,Los Angeles International Airport,Los Angeles Intl,Los Angeles Intl ,Los Angeles,United States,US,North America,33.943399,-118.408279,America/Los_Angeles,3,5,81%,473,1%,23637,large_airport,125,http://www.iflylax.com/,TRUE,,
KDFW,DFW,1573100e-e4a3-47b0-9399-01b36074e1f5,Dallas Fort Worth International Airport,Dallas Fort Worth International Airport,Dallas-Fort Worth Intl,Dallas Fort Worth Intl ,Dallas,United States,US,North America,32.897462,-97.036128,America/Chicago,4,5,76%,767,2%,23268,large_airport,607,http://www.dfwairport.com/,TRUE,,
ZBAA,PEK,fa495023-95f7-46c7-abf5-69a5f2120d69,Beijing Capital International Airport,Beijing Capital International Airport,Beijing Capital Intl,Beijing Capital Intl ,Beijing,China,CN,Asia,40.078538,116.587095,Asia/Shanghai,5,5,80%,531,0%,22832,large_airport,116,http://en.bcia.com.cn/,TRUE,,
KDEN,DEN,d00b5728-0678-4689-b660-fe9e583203dc,Denver International Airport,Denver International Airport,Denver Intl,Denver Intl ,Denver,United States,US,North America,39.851382,-104.673098,America/Denver,6,5,77%,692,1%,19829,large_airport,5431,http://www.flydenver.com/,TRUE,,Main
RJTT,HND,deceac13-5547-4a5a-9877-06e35ae80304,Tokyo Haneda International Airport,Tokyo Haneda International Airport,Henderson Executive,Tokyo Haneda Intl ,Tokyo,Japan,JP,Asia,35.549069,139.784524,Asia/Tokyo,7,5,88%,160,2%,19236,large_airport,35,http://www.haneda-airport.jp/,,,
KCLT,CLT,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,Charlotte Douglas International Airport,Charlotte Douglas International Airport,Charlotte/Douglas Intl,Charlotte Douglas Intl ,Charlotte,United States,US,North America,35.219167,-80.935833,America/New_York,8,5,81%,463,1%,19029,large_airport,748,http://www.charlotteairport.com/,TRUE,,Main
WIII,CGK,54e67e4a-41d4-438f-b7c9-a0054d50081c,Soekarno-Hatta International Airport,Soekarno-Hatta International Airport,Jakarta-Soekarno-Hatta Intl,Soekarno-Hatta Intl ,Jakarta,Indonesia,ID,Asia,-6.130643,106.655526,Asia/Jakarta,9,5,39%,1187,1%,18693,large_airport,34,http://www.jakartasoekarnohattaairport.com/,,,
ZGGG,CAN,7436d9ad-c589-49cb-9578-7762e8598fdc,Guangzhou Baiyun International Airport,Guangzhou Baiyun International Airport,Guangzhou Baiyun Intl,Guangzhou Baiyun Intl ,Guangzhou,China,CN,Asia,23.387862,113.29734,Asia/Shanghai,10,5,79%,608,0%,18366,large_airport,50,http://www.baiyunairport.com/english/index.jsp,,,
EGLL,LHR,5a2a51a0-1a5b-42c9-b220-c61953fac034,London Heathrow Airport,London Heathrow Airport,London Heathrow,London Heathrow ,London,United Kingdom,GB,Europe,51.469603,-0.453566,Europe/London,11,5,80%,536,2%,18026,large_airport,83,http://www.heathrowairport.com/,TRUE,,
ZSPD,PVG,94ecd389-4c82-477f-8502-261c27f5b6fa,Shanghai Pudong International Airport,Shanghai Pudong International Airport,Shanghai Pudong Intl,Shanghai Pudong Intl ,Shanghai,China,CN,Asia,31.151824,121.799808,Asia/Shanghai,12,5,83%,361,0%,1792,large_airport,13,,TRUE,,
VIDP,DEL,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,Indira Gandhi International Airport,Indira Gandhi International Airport,Indira Gandhi Intl,Indira Gandhi Intl ,Delhi,India,IN,Asia,28.556555,77.100789,Asia/Kolkata,13,5,78%,652,0%,17403,large_airport,777,http://www.newdelhiairport.in/,,,
EHAM,AMS,f671c076-61b7-4572-8abb-359aaadaafd4,Amsterdam Airport Schiphol,Amsterdam Airport Schiphol,Amsterdam Schiphol,Amsterdam Schiphol,Amsterdam,Netherlands,NL,Europe,52.309069,4.763385,Europe/Amsterdam,14,5,79%,603,1%,16807,large_airport,-11,http://www.schiphol.nl/,TRUE,,Main
CYYZ,YYZ,54b344b9-4034-43bf-9f74-6934fe37e671,Lester B. Pearson International Airport,Lester B. Pearson International Airport,Toronto Pearson Intl,Lester B. Pearson Intl ,Toronto,Canada,CA,North America,43.681585,-79.61146,America/Toronto,15,5,65%,1034,5%,16637,large_airport,569,http://www.gtaa.com/,TRUE,,
EDDF,FRA,9e8dd658-32ff-4277-acb3-8c2b5dc39431,Frankfurt am Main Airport,Frankfurt am Main Airport,Frankfurt Intl,Frankfurt am Main ,Frankfurt,Germany,DE,Europe,50.048952,8.573678,Europe/Berlin,16,5,72%,898,2%,16533,large_airport,364,http://www.frankfurt-airport.de/,,,
KIAH,IAH,9a82d843-2e36-4dba-8a6c-ea86d70b316b,George Bush Intercontinental Houston Airport,George Bush Intercontinental Houston Airport,Houston Bush Int'ctl,George Bush Intercontinental Houston ,Houston,United States,US,North America,29.983333,-95.34,America/Chicago,17,5,84%,320,1%,16366,large_airport,97,http://www.fly2houston.com/iah,TRUE,,
LFPG,CDG,065a1318-77b6-4f77-98ce-95b9253f64a5,Charles de Gaulle International Airport,Charles de Gaulle International Airport,Charles de Gaulle/Roissy,Charles de Gaulle Intl ,Paris,France,FR,Europe,49.003196,2.567023,Europe/Paris,18,5,58%,1125,3%,1582,large_airport,392,http://www.aeroportsdeparis.fr/,,,
LTFM,IST,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,Atatürk International Airport,Atatürk International Airport,Istanbul Ataturk Intl,Istanbul Airport,Istanbul,Turkey,TR,Europe,41.262222,28.727778,Europe/Istanbul,19,5,77%,702,1%,15642,large_airport,325,https://www.istairport.com/,,,
KSFO,SFO,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,San Francisco International Airport,San Francisco International Airport,San Francisco Intl,San Francisco Intl ,San Francisco,United States,US,North America,37.615215,-122.389881,America/Los_Angeles,20,5,85%,255,1%,15581,large_airport,13,http://www.flysfo.com/,,,
KJFK,JFK,fc332185-4dde-4791-b449-0de5e83e47b9,John F Kennedy International Airport,John F Kennedy International Airport,John F Kennedy Intl,John F Kennedy Intl ,New York,United States,US,North America,40.642335,-73.78817,America/New_York,21,5,84%,311,1%,15535,large_airport,13,http://www.panynj.gov/CommutingTravel/airports/html/kennedy.html,TRUE,,
OMDB,DXB,e8b51cb0-c41d-4224-b842-7f69655f8076,Dubai International Airport,Dubai International Airport,Dubai Intl,Dubai Intl ,Dubai,United Arab Emirates,AE,Middle East,25.248664,55.352916,Asia/Dubai,22,5,56%,1139,1%,15371,large_airport,62,http://www.dubaiairport.com/dia/english/home/,,,
WMKK,KUL,d0ed4e28-88b7-4a15-ba4e-bb366458975a,Kuala Lumpur International Airport,Kuala Lumpur International Airport,Kuala Lumpur Intl,Kuala Lumpur Intl ,Kuala Lumpur,Malaysia,MY,Asia,2.744344,101.717259,Asia/Kuala_Lumpur,23,5,71%,932,0%,15173,large_airport,69,,,,
KEWR,EWR,4427d229-a1e2-4955-81fa-9b5c0f103f12,Newark Liberty International Airport,Newark Liberty International Airport,Newark Liberty Intl,Newark Liberty Intl ,Newark,United States,US,North America,40.689071,-74.178753,America/New_York,24,5,77%,700,3%,15165,large_airport,18,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,TRUE,,
MMMX,MEX,52352c99-6347-4c4e-9472-3c8556ee037f,Licenciado Benito Juarez International Airport,Licenciado Benito Juarez International Airport,Lic. Benito Juarez Intl,Licenciado Benito Juarez Intl ,Mexico City,Mexico,MX,North America,19.435278,-99.072778,America/Mexico_City,25,5,91%,60,0%,15051,large_airport,7316,https://www.aicm.com.mx,,,
ZPPP,KMG,e90b5211-2818-465b-a4f2-f6f7fb8da6b1,Kunming Changshui International Airport,Kunming Changshui International Airport,Kunming Changshui Intl,Kunming Changshui Intl ,Kunming,China,CN,Asia,25.101944,102.929167,Asia/Shanghai,26,5,64%,1053,3%,14779,large_airport,6903,,,,
KPHX,PHX,a2f06eec-440b-48dd-9096-f9051e8a07ef,Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport,Phoenix Sky Harbor Intl,Phoenix Sky Harbor Intl ,Phoenix,United States,US,North America,33.435036,-112.000164,America/Phoenix,27,5,72%,896,1%,14595,large_airport,1135,http://phoenix.gov/skyharborairport/,TRUE,,
WSSS,SIN,0408c509-a410-4361-806b-eebecfea9bc1,Singapore Changi Airport,Singapore Changi Airport,Singapore Changi,Singapore Changi ,Singapore,Singapore,SG,Asia,1.361173,103.990201,Asia/Singapore,28,5,82%,406,0%,14232,large_airport,22,http://www.changiairport.com/,,,
KSEA,SEA,b3f217fd-4bc7-4806-9efe-abe9446a74df,Seattle Tacoma International Airport,Seattle Tacoma International Airport,Seattle-Tacoma Intl,Seattle Tacoma Intl ,Seattle,United States,US,North America,47.443839,-122.301732,America/Los_Angeles,29,5,86%,217,0%,14136,large_airport,433,http://www.portseattle.org/seatac/,TRUE,,Main
VTBS,BKK,548d409f-68f7-4450-aaaf-87133919af6d,Suvarnabhumi Airport,Suvarnabhumi Airport,Suvarnabhumi Bangkok Intl,Suvarnabhumi ,Bangkok,Thailand,TH,Asia,13.693062,100.752044,Asia/Bangkok,30,5,62%,1079,0%,14132,large_airport,5,,,,
EDDM,MUC,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,Flughafen München-Riem,Munich Airport,Munich Intl,Munich ,Munich,Germany,DE,Europe,48.353005,11.790143,Europe/Berlin,31,5,74%,819,2%,14088,large_airport,1487,http://www.munich-airport.com/,,,
VHHH,HKG,7da61aa8-3d56-411b-8be5-50a198e86c60,Hong Kong International Airport,Hong Kong International Airport,Hong Kong Intl,Hong Kong Intl ,Hong Kong,Hong Kong,HK,Asia,22.315248,113.93649,Asia/Hong_Kong,32,5,70%,951,0%,13973,large_airport,28,http://www.hongkongairport.com/,TRUE,,
KLGA,LGA,dfeb8457-3376-49f8-b542-dbeb2ec9f719,La Guardia Airport,La Guardia Airport,La Guardia,La Guardia ,New York,United States,US,North America,40.774252,-73.871617,America/New_York,33,5,77%,714,3%,13907,large_airport,21,http://www.panynj.gov/CommutingTravel/airports/html/laguardia.html,TRUE,,
ZUUU,CTU,b0c5320c-15c1-4f40-b789-0cfe491aeb91,Chengdu Shuangliu International Airport,Chengdu Shuangliu International Airport,Chengdu Shuangliu Intl,Chengdu Shuangliu Intl ,Chengdu,China,CN,Asia,30.581134,103.956799,Asia/Shanghai,34,5,75%,777,1%,13738,large_airport,1625,http://www.cdairport.com/cdairport/en_front/index.jsp,,,
KDTW,DTW,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,Detroit Metropolitan Wayne County Airport,Detroit Metropolitan Wayne County Airport,Detroit Metro Wayne Co,Detroit Metropolitan Wayne County ,Detroit,United States,US,North America,42.207808,-83.356048,America/New_York,35,5,78%,636,4%,13692,large_airport,645,http://www.metroairport.com/,TRUE,,
LEMD,MAD,f6e9455f-8a6d-4806-89c4-18c09a750f00,Adolfo Suárez Madrid–Barajas Airport,Adolfo Suárez Madrid–Barajas Airport,Barajas Intl,Adolfo Suárez Madrid–Barajas ,Madrid,Spain and Canary Islands,ES,Europe,40.49027,-3.564479,Europe/Madrid,36,5,81%,445,1%,13625,large_airport,1998,http://www.aena.es/csee/Satellite?cid=1049727006353&pagename=subHome&SiteName=MAD&c=Page&Language=EN_GB,,,
RKSI,ICN,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,Incheon International Airport,Incheon International Airport,Incheon Intl,Incheon Intl ,Seoul,Republic of Korea,KR,Asia,37.448526,126.451234,Asia/Seoul,37,5,61%,1093,0%,13598,large_airport,23,,,,
KBOS,BOS,813ec62f-c303-44d9-a041-a4434d6fd652,General Edward Lawrence Logan International Airport,General Edward Lawrence Logan International Airport,Boston Logan Intl,General Edward Lawrence Logan Intl ,Boston,United States,US,North America,42.36646,-71.020176,America/New_York,38,5,81%,487,3%,13566,large_airport,20,http://www.massport.com/logan/,TRUE,,
KMSP,MSP,e6471588-a4ac-43ed-85de-adb08f1c3410,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis/St Paul Intl,Minneapolis-St Paul Intl/Wold-Chamberlain ,Minneapolis,United States,US,North America,44.883016,-93.210922,America/Chicago,39,5,81%,444,1%,13422,large_airport,841,http://www.mspairport.com/,TRUE,,Main
ZGSZ,SZX,fe67fc1f-8483-4796-891a-81a54515c216,Shenzhen Bao'an International Airport,Shenzhen Bao'an International Airport,Shenzhen Bao'an Intl,Shenzhen Bao'an Intl ,Shenzhen,China,CN,Asia,22.639444,113.810833,Asia/Shanghai,40,5,79%,619,1%,13203,large_airport,13,http://eng.szairport.com/,,,
KMIA,MIA,2a44ac82-ae36-48d1-87c0-e8cbb31ce45f,Miami International Airport,Miami International Airport,Miami Intl,Miami Intl ,Miami,United States,US,North America,25.796,-80.278234,America/New_York,41,5,87%,184,1%,12882,large_airport,8,http://www.miami-airport.com/,TRUE,,
KLAS,LAS,13ec7b81-ab66-4c6c-b632-92f18740c05b,McCarran International Airport,McCarran International Airport,McCarran Intl,McCarran Intl ,Las Vegas,United States,US,North America,36.081,-115.147599,America/Los_Angeles,42,5,78%,678,1%,1285,large_airport,2181,http://www.mccarran.com/,TRUE,,Main
ZLXY,XIY,26f6fa01-7076-47ac-a5ed-2b6da02a177a,Xi'an Xianyang International Airport,Xi'an Xianyang International Airport,Xi'an Xianyang Intl,Xi'an Xianyang Intl ,Xian,China,CN,Asia,34.438416,108.760946,Asia/Shanghai,43,5,85%,247,0%,12783,large_airport,1572,http://www.xxia.com/,,,
KMCO,MCO,85570a14-2373-4bad-a7b5-b3a9a7fdce90,Orlando International Airport,Orlando International Airport,Orlando Intl,Orlando Intl ,Orlando,United States,US,North America,28.432177,-81.308301,America/New_York,44,5,81%,466,1%,12502,large_airport,96,http://www.orlandoairports.net/,,,
VABB,BOM,2a6e27e3-f8ac-493e-adef-ee363a722a29,Chhatrapati Shivaji International Airport,Chhatrapati Shivaji International Airport,Chatrapati Shivaji Intl,Chhatrapati Shivaji Intl ,Mumbai,India,IN,Asia,19.089891,72.868047,Asia/Kolkata,45,5,46%,1174,0%,12441,large_airport,39,http://www.csia.in/,,,
YSSY,SYD,958827d6-30b4-4f21-9da2-e2e5c43635d0,Sydney Kingsford Smith International Airport,Sydney Kingsford Smith International Airport,Sydney,Sydney Kingsford Smith Intl ,Sydney,Australia,AU,Oceania,-33.932922,151.179898,Australia/Sydney,46,5,81%,505,1%,12264,large_airport,21,http://www.sydneyairport.com.au/,TRUE,,
KPHL,PHL,a0d1ae30-2637-4b7c-87bd-91e31dc37468,Philadelphia International Airport,Philadelphia International Airport,Philadelphia Intl,Philadelphia Intl ,Philadelphia,United States,US,North America,39.876413,-75.243305,America/New_York,47,5,81%,508,2%,11865,large_airport,36,http://www.phl.org/,TRUE,,
ZUCK,CKG,e1bae218-a685-4595-9d35-a07859dcfbc0,Chongqing Jiangbei International Airport,Chongqing Jiangbei International Airport,Chongqing Jiangbei Intl,Chongqing Jiangbei Intl ,Chongqing,China,CN,Asia,29.720341,106.63408,Asia/Shanghai,48,5,78%,650,2%,11541,large_airport,1365,,,,
KDCA,DCA,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,Reagan National,Ronald Reagan Washington National ,Washington DC,United States,US,North America,38.853434,-77.043457,America/New_York,49,5,77%,696,2%,11381,large_airport,15,http://www.flyreagan.com/dca/reagan-national-airport,,,Main
UUEE,SVO,5911c207-2eab-4c45-abd5-f7c16d530ba9,Sheremetyevo International Airport,Sheremetyevo International Airport,Sheremetyevo Intl,Sheremetyevo Intl ,Moscow,Russian Federation,RU,Europe,55.966324,37.416574,Europe/Moscow,50,5,82%,383,2%,11023,large_airport,622,http://www.svo.aero/en/,,,
KFLL,FLL,5420aa1f-50fb-46f2-b2e8-b7e99ff9f4fb,Fort Lauderdale Hollywood International Airport,Fort Lauderdale Hollywood International Airport,Fort Lauderdale Intl,Fort Lauderdale Hollywood Intl ,Ft Lauderdale,United States,US,North America,26.071492,-80.144908,America/New_York,51,5,79%,589,1%,10962,large_airport,9,http://www.fll.net/,TRUE,,
SKBO,BOG,36eebc9d-1c35-4d11-a1a9-11442d330e51,El Dorado International Airport,El Dorado International Airport,El Dorado Intl,El Dorado Intl ,Bogota,Colombia,CO,South America,4.698602,-74.143136,America/Bogota,52,5,62%,1081,1%,10412,large_airport,8361,,,,
ZSHC,HGH,566c0e8a-ab33-4398-a1ff-88863bd3c651,Hangzhou Xiaoshan International Airport,Hangzhou Xiaoshan International Airport,Hangzhou Xiaoshan Intl,Hangzhou Xiaoshan Intl ,Hangzhou,China,CN,Asia,30.236934,120.432356,Asia/Shanghai,53,5,67%,996,1%,10124,large_airport,23,http://www.hzairport.com/,,,
LEBL,BCN,72d63683-9cc9-40da-9394-b2557edacb91,Barcelona International Airport,Barcelona International Airport,Barcelona Intl,Barcelona Intl ,Barcelona,Spain and Canary Islands,ES,Europe,41.303027,2.07593,Europe/Madrid,54,5,71%,924,1%,10064,large_airport,12,http://www.aena.es/csee/Satellite?cid=1045569607459&pagename=subHome&Language=EN_GB&SiteName=BCN&c=Page,,,
RPLL,MNL,0b6320ae-d6b5-4c1f-9a06-47654243893b,Ninoy Aquino International Airport,Ninoy Aquino International Airport,Manila Intl,Ninoy Aquino Intl ,Manila,Philippines,PH,Asia,14.511205,121.019208,Asia/Manila,55,5,70%,953,1%,9966,large_airport,75,,,,
VTBD,DMK,99e501ce-1da8-427e-b685-4f54c4a1a6ee,Don Mueang International Airport,Don Mueang International Airport,Don Muang Intl,Don Mueang Intl ,Bangkok,Thailand,TH,Asia,13.9125,100.606667,Asia/Bangkok,56,4,78%,665,0%,9964,large_airport,9,http://www2.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,,,
ZSSS,SHA,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,Shanghai Hongqiao International Airport,Shanghai Hongqiao International Airport,Shanghai Hongqiao Intl,Shanghai Hongqiao Intl ,Shanghai,China,CN,Asia,31.19779,121.333473,Asia/Shanghai,57,5,80%,527,1%,985,large_airport,10,,,,
SSYA,AAG,3578bc7c-c164-4307-8ff7-2f070a29a798,Arapoti Airport,Arapoti Airport,Arapoti Airport,Arapoti Airport,Arapoti,Brazil,BR,South America,-24.103611,-49.79,America/Sao_Paulo,,1,,,,,,,,,,
LIRF,FCO,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,Leonardo da Vinci–Fiumicino Airport,Leonardo da Vinci–Fiumicino Airport,Leonardo da Vinci Intl,Leonardo da Vinci–Fiumicino ,Rome,Italy,IT,Europe,41.794594,12.250346,Europe/Rome,59,5,78%,680,1%,9802,large_airport,13,http://www.adr.it/portal/portal/adr/Fiumicino/Leonardo_da_vinci/Header_Window?action=2,,,
CYVR,YVR,c71de46b-62e9-43fb-83e7-1f44a3a393fe,Vancouver International Airport,Vancouver International Airport,Vancouver Intl,Vancouver Intl ,Vancouver,Canada,CA,North America,49.194697,-123.179191,America/Vancouver,60,5,70%,949,2%,9415,large_airport,14,http://www.yvr.ca/,TRUE,,Main
VVTS,SGN,55757f45-a7b4-4005-bf27-43869acade56,Tan Son Nhat International Airport,Tan Son Nhat International Airport,Tan Son Nhat Intl,Tan Son Nhat Intl ,Ho Chi Minh City,Viet Nam,VN,Asia,10.813045,106.662477,Asia/Ho_Chi_Minh,61,4,76%,749,0%,9347,large_airport,33,http://www.tsnairport.hochiminhcity.gov.vn/,,,
RCTP,TPE,1a0ff314-4db9-43eb-aef0-59d40b78505b,Taiwan Taoyuan International Airport,Taiwan Taoyuan International Airport,Taiwan Taoyuan Intl,Taiwan Taoyuan Intl ,Taipei,Republic of China Taiwan,TW,Asia,25.075512,121.23248,Asia/Taipei,62,5,75%,785,0%,9177,large_airport,106,http://www.taoyuan-airport.com/,TRUE,,
YMML,MEL,abdb643a-f7ba-4564-a003-40b64a7a01b2,Melbourne International Airport,Melbourne International Airport,Melbourne Tullamarine,Melbourne Intl ,Melbourne,Australia,AU,Oceania,-37.673295,144.843013,Australia/Sydney,63,5,78%,666,1%,9144,large_airport,434,http://melbourneairport.com.au/,TRUE,,
KSLC,SLC,a9fd3eb2-255a-4372-9c86-ff4f7ee1d2c1,Salt Lake City International Airport,Salt Lake City International Airport,Salt Lake City Intl,Salt Lake City Intl ,Salt Lake City,United States,US,North America,40.785645,-111.980673,America/Denver,64,5,82%,440,0%,9089,large_airport,4227,,,,
EGKK,LGW,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,London Gatwick Airport,London Gatwick Airport,London Gatwick,London Gatwick ,London,United Kingdom,GB,Europe,51.150836,-0.177416,Europe/London,65,5,67%,1013,1%,8996,large_airport,202,http://www.gatwickairport.com/,TRUE,,
EKCH,CPH,09054701-0610-49f1-9bc4-e07200bdf095,Copenhagen Kastrup Airport,Copenhagen Kastrup Airport,Copenhagen,Copenhagen Kastrup ,Copenhagen,Denmark,DK,Europe,55.629053,12.647601,Europe/Copenhagen,66,5,83%,351,1%,8939,large_airport,17,http://www.cph.dk/en/,TRUE,,
ENGM,OSL,0b97593c-1091-40e5-b6c1-d10fe4678556,Oslo Gardermoen Airport,Oslo Gardermoen Airport,"Oslo, Gardermoen",Oslo Gardermoen ,Oslo,Norway,NO,Europe,60.194192,11.100411,Europe/Oslo,67,5,75%,790,2%,8693,large_airport,681,https://avinor.no/en/airport/oslo-airport,,,Main
RJAA,NRT,42cbe764-fc30-49b0-9e72-eca5f6c21767,Narita International Airport,Narita International Airport,Narita Intl,Narita Intl ,Tokyo,Japan,JP,Asia,35.773213,140.387443,Asia/Tokyo,68,5,81%,502,1%,8641,large_airport,141,,TRUE,,
ZHCC,CGO,765e8d98-81ef-4338-bd96-343e2f95f976,Zhengzhou Xinzheng International Airport,Zhengzhou Xinzheng International Airport,Zhengzhou Xinzheng Intl,Zhengzhou Xinzheng Intl ,Zhengzhou,China,CN,Asia,34.527519,113.840242,Asia/Shanghai,69,4,76%,756,1%,8471,large_airport,495,,,,
LSZH,ZRH,a0039222-c7e3-46d5-b5a6-26fca3d8864b,Zürich Airport,Zürich Airport,Zurich,Zürich ,Zurich,Switzerland,CH,Europe,47.450604,8.561746,Europe/Zurich,70,5,75%,782,1%,8446,large_airport,1416,http://www.zurich-airport.com/,TRUE,,
VOBL,BLR,7b6f50fc-f249-4a6d-8ad8-791f650de9b8,Kempegowda International Airport,Kempegowda International Airport,Bengaluru Intl,Kempegowda Intl ,Bengaluru,India,IN,Asia,13.200771,77.710228,Asia/Kolkata,71,4,79%,576,0%,8437,large_airport,3000,http://www.bengaluruairport.com/home/home.jspx,,,
OEJN,JED,93e8e4b0-4d2f-4b18-a38a-33a252487c0f,King Abdulaziz International Airport,King Abdulaziz International Airport,King Abdulaziz Intl,King Abdulaziz Intl ,Jeddah,Saudi Arabia,SA,Middle East,21.670232,39.150579,Asia/Riyadh,72,4,82%,432,1%,8317,large_airport,48,http://www.jed-airport.com/,,,
KBWI,BWI,4923b37c-381e-48e6-ba91-7c75d4151f64,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington Intl,Baltimore/Washington Intl Thurgood Marshall ,Baltimore,United States,US,North America,39.179526,-76.668941,America/New_York,73,5,83%,347,1%,8273,large_airport,146,,TRUE,,Main
ESSA,ARN,94e58d0c-8465-4ac1-bc7e-4cff8f3240a0,Stockholm-Arlanda Airport,Stockholm-Arlanda Airport,Stockholm-Arlanda,Stockholm-Arlanda ,Stockholm,Sweden,SE,Europe,59.649818,17.930364,Europe/Stockholm,74,5,50%,1168,2%,8221,large_airport,137,http://www.swedavia.se/arlanda/,,,
LFPO,ORY,8c066cc3-112d-4bcf-8483-e965888e358a,Paris-Orly Airport,Paris-Orly Airport,Paris Orly,Paris-Orly ,Paris,France,FR,Europe,48.728283,2.3597,Europe/Paris,75,5,44%,1177,6%,8106,large_airport,291,,,,
ZSNJ,NKG,6c95878b-b90d-42ec-bed8-5d9eda5d3296,Nanjing Lukou Airport,Nanjing Lukou Airport,Nanjing Lukou Intl,Nanjing Lukou ,Nanjing,China,CN,Asia,31.735737,118.86652,Asia/Shanghai,76,4,70%,954,1%,8084,large_airport,49,,,,
ZSAM,XMN,4b0054f0-7183-4b80-bfa1-1f79ad79ffe5,Xiamen Gaoqi International Airport,Xiamen Gaoqi International Airport,Xiamen Gaoqi Intl,Xiamen Gaoqi Intl ,Xiamen,China,CN,Asia,24.543064,118.134178,Asia/Shanghai,77,5,62%,1073,1%,7947,large_airport,59,http://www.xiagc.com.cn/enweb/,,,
LTFJ,SAW,ad9828a5-ff14-420e-8e16-4b9285c24552,Sabiha Gökçen International Airport,Sabiha Gökçen International Airport,Sawyer Intl,Sabiha Gökçen Intl ,Istanbul,Turkey,TR,Europe,40.904676,29.309188,Europe/Istanbul,78,4,85%,259,1%,7862,large_airport,312,http://www.sgairport.com/,,,
KIAD,IAD,519696f5-bda6-457c-ae4c-dd1cb07e20de,Washington Dulles International Airport,Washington Dulles International Airport,Washington Dulles Intl,Washington Dulles Intl ,Washington DC,United States,US,North America,38.95315,-77.447735,America/New_York,79,5,84%,319,2%,7819,large_airport,312,http://www.mwaa.com/dulles/,,,Main
CYUL,YUL,4cad50dc-9f0d-4c24-a3fb-de8e0b4c5d2a,Montreal / Pierre Elliott Trudeau International Airport,Montreal / Pierre Elliott Trudeau International Airport,Montreal-Trudeau,Montreal-Pierre Elliott Trudeau Intl ,Montreal,Canada,CA,North America,45.457715,-73.749906,America/Toronto,80,5,73%,876,5%,7767,large_airport,118,http://www.admtl.com/passager/Home.aspx,TRUE,,Main
ZJHK,HAK,82f5f4eb-7462-4690-abbd-773293d26368,Haikou Meilan International Airport,Haikou Meilan International Airport,Haikou Meilan Intl,Haikou Meilan Intl ,Haikou,China,CN,Asia,19.934877,110.45896,Asia/Shanghai,81,4,68%,994,0%,7474,large_airport,75,,,,
FAOR,JNB,2cc6ea7d-2b3d-45a0-84b2-3537b4b54963,OR Tambo International Airport,OR Tambo International Airport,OR Tambo Intl,OR Tambo Intl ,Johannesburg,South Africa,ZA,Africa,-26.139164,28.245999,Africa/Johannesburg,82,5,85%,294,1%,746,large_airport,5558,,,,
UUDD,DME,c21c10c9-ff23-493c-a73a-3451327b6116,Domodedovo International Airport,Domodedovo International Airport,Domodedovo Intl,Domodedovo Intl ,Moscow,Russian Federation,RU,Europe,55.414566,37.899494,Europe/Moscow,83,5,60%,1100,2%,739,large_airport,588,http://www.domodedovo.ru/en/,,,
