ICAO,IATA,DB ID,FlighStats API Name (Okay quality),OurAirports.com Name (Good quality),FlightAware API Name (bad quality),Marketing Name (OurAirports + our edits),City,Country,Country Code,Continent,Latitude,Longitude,Timezone,Flight Rank,Relevance,On Time Departures,On Time Departures Rank,Cancel %,No Flights,Airport Type,Elevation (ft),Website,Apple terminal maps? (63),Google terminal maps?,"If Gate known, replace any ""N/A"" Terminal with:"
KBOW,BOW,06d70800-46cb-409d-9c61-0551c1629fc1,Bartow Municipal Airport,Bartow Municipal Airport,Bartow Muni,Bartow Municipal ,Bartow,United States,US,North America,27.9,-81.833333,America/New_York,,1,,,,,small_airport,125,http://www.bartow-airport.com/,,,
EGHH,BOH,5786b94b-383c-4970-8118-edc1f66ca0ed,Bournemouth Airport,Bournemouth Airport,Bournemouth,Bournemouth ,Bournemouth,United Kingdom,GB,Europe,50.778269,-1.832476,Europe/London,,2,,,,,large_airport,38,http://www.bournemouthairport.com/,,,
KBOK,BOK,92dcf5a3-3d62-4ec2-82bf-0acebf1f62b7,Brookings Airport,,Brookings,,Brookings,United States,US,North America,42.05,-124.283333,America/Los_Angeles,,1,,,,,,,,,,
LTAZ,NAV,0bbb4ccc-66dd-4a5d-9658-10251b2bb6d1,Nevşehir Kapadokya Airport,Nevşehir Kapadokya Airport,,Nevşehir Kapadokya ,Nevsehir,Turkey,TR,Europe,38.633333,34.716667,Europe/Istanbul,,2,,,,,small_airport,3100,,,,
ZMBS,HBU,0890acfb-84bc-4f72-89f3-f66c58f49f33,Bulgan Sum Airport,Bulgan Sum Airport,,Bulgan Sum ,Bulgan,Mongolia,MN,Asia,46.102222,91.58611,Asia/Ulaanbaatar,,2,,,,,small_airport,3921,,,,
FZAJ,BOA,f8a9fe8b-70f0-4517-93d4-b953b6cffbbf,Boma Airport,Boma Airport,Boma,Boma ,Boma,The Democratic Republic of The Congo,CD,Africa,-5.866667,13.066667,Africa/Kinshasa,,2,,,,,small_airport,26,,,,
MPBO,BOC,1922242e-e39e-4a14-9086-3b786d9a0243,Bocas Del Toro International Airport,Bocas Del Toro International Airport,Bocas del Toro Isla Colon Intl,Bocas Del Toro Intl ,Bocas Del Toro,Panama,PA,Central America,9.34,-82.251944,America/Panama,,2,,,,,medium_airport,10,,,,
FCOB,BOE,5a8fee79-c3df-4202-83fe-bb5f78fa4693,Boundji Airport,Boundji Airport,Boundji,Boundji ,Boundji,Congo,CG,Africa,-1.033333,15.383333,Africa/Brazzaville,,1,,,,,small_airport,1247,,,,
KHBR,HBR,e0ad8cbb-a6b9-4753-bc3b-97a4401f837c,Hobart Regional Airport,Hobart Regional Airport,Hobart Rgnl,Hobart Regional ,Hobart,United States,US,North America,35.016667,-99.1,America/Chicago,,1,,,,,medium_airport,1563,,,,
,CMT,2029f00c-5d6f-49a6-a45b-b10f36df7a1f,Cameta Airport,Cameta Airport,Cameta Airport,Cameta Airport,Cametá,Brazil,BR,South America,-2.2,-49.5,America/Belem,,1,,,,,,,,,,
MHPL,PEU,5b462703-1700-4de0-89c8-57adab6cf10b,Puerto Lempira Airport,Puerto Lempira Airport,Puerto Lempira,Puerto Lempira ,Puerto Lempira,Honduras,HN,Central America,15.2622,-83.781197,America/Tegucigalpa,,2,,,,,small_airport,33,,,,
KSVN,SVN,06df594f-c182-428d-b7fa-ba9ab5853eea,Hunter Army Air Field,Hunter Army Air Field,Hunter Aaf,Hunter Army Air Field,Savannah,United States,US,North America,32.010124,-81.146012,America/New_York,,2,,,,,medium_airport,41,http://www.stewart.army.mil/units/home.asp?id=186,,,
EFSA,SVL,fb1988ee-99a7-4292-b6c8-15e5e9aa6a39,Savonlinna Airport,Savonlinna Airport,Savonlinna,Savonlinna ,Savonlinna,Finland,FI,Europe,61.944186,28.932545,Europe/Helsinki,,2,,,,,medium_airport,311,http://www.finavia.fi/en/savonlinna/,,,
ENSH,SVJ,2198e2a8-b51a-4905-a248-e04bf02476b3,Svolvær Helle Airport,Svolvær Helle Airport,"Svolvaer, Helle",Svolvær Helle ,Svolvaer,Norway,NO,Europe,68.244983,14.667774,Europe/Oslo,,2,,,,,medium_airport,27,https://avinor.no/en/airport/svolvar-airport/,,,
KSVH,SVH,1c1a0941-8cd7-4368-8363-d47a1f83629b,Statesville Regional Airport,Statesville Regional Airport,Statesville Rgnl,Statesville Regional ,Statesville,United States,US,North America,35.765122,-80.951421,America/New_York,,2,,,,,small_airport,968,http://www.statesvillenc.net/Resident/Airport/tabid/82/Default.aspx,,,
